site_id,assign_km,g3p_basin
1505,874.1812127113375,Loire
1506,874.1812127113375,Loire
1507,874.1812127113375,Loire
1508,874.1812127113375,Loire
1509,874.1812127113375,Loire
1510,874.1812127113375,Loire
1511,874.1812127113375,Loire
1512,615.801189641308,Mississippi River
1518,802.6463750932818,St.Lawrence
1519,753.5391334681626,Albany River
1524,1171.4584724415763,St.Lawrence
1525,1162.1324334698431,St.Lawrence
1532,1087.245917868311,Mississippi River
1534,1345.232376536862,Mississippi River
1537,876.7647019785552,Mississippi River
1538,567.4300408307084,Mississippi River
1539,507.8234207554929,Loire
1541,876.7647019785552,Mississippi River
1543,594.8145360135832,Mississippi River
1544,713.9795581502033,Mississippi River
1546,507.8234207554929,Loire
1549,938.0152905236363,Danube
1550,948.7600907020113,Rhine
1552,610.6606710377993,St.Lawrence
1556,785.9069066219225,Rhine
1568,874.1812127113375,Loire
1570,528.5030886390512,Bravo
1571,528.5030886390512,Bravo
1572,528.5030886390512,Bravo
1574,645.4989463440157,Mississippi River
1577,976.2371190586634,Elbe River
1579,946.4984475055497,Columbia River
1582,522.8773008690055,Loire
1583,507.8234207554929,Loire
1586,530.2243321644509,Rhine
1587,796.2263978525394,St.Lawrence
1588,849.3701975768821,Mississippi River
1589,655.2165992748929,St.Lawrence
1602,997.516317042979,Loire
1606,657.8935028841759,Mississippi River
1614,606.6168235264632,St.Lawrence
1615,507.8234207554929,Loire
1616,507.8234207554929,Loire
1618,552.771555782899,Elbe River
1619,568.95264459929,St.Lawrence
1620,600.1171426908202,St.Lawrence
1623,1231.8828163588175,Loire
1624,1231.9537208524284,Loire
1626,659.3796359000892,Mississippi River
1627,955.5770446331959,Columbia River
1629,1002.115755171813,Loire
1630,840.3124007649973,Danube
1631,840.3124007649973,Danube
1632,672.9897683822762,Colorado River (Pacific Ocean)
1633,728.866099279602,Neva
1634,1643.7675512950964,Grisalva
1635,593.3636662213252,St.Lawrence
1636,734.0866941782187,St.Lawrence
1639,806.1159995246957,St.Lawrence
1644,521.7256903249307,Neva
1645,734.0866941782187,St.Lawrence
1647,850.3932095695773,Mississippi River
1648,753.2603029542585,Rhine
1649,582.8467399720373,Mississippi River
1653,773.1869503092419,St.Lawrence
1654,753.5644133646215,Rhine
1655,683.038604784079,Mississippi River
1656,758.5081612369055,Rhine
1658,673.8352430263308,Brazos River
1659,883.3168632863806,Elbe River
1660,724.6661159800702,Colorado River (Pacific Ocean)
1661,1638.94650365027,Mississippi River
1662,1648.017499173424,Mississippi River
1663,641.7440802585443,Krishna
1664,743.631809358325,Mississippi River
1744,762.3416072032019,St.Lawrence
1748,594.8145360135832,Mississippi River
1757,994.8138827108884,Rhine
1760,515.6365087013235,Rhine
1769,806.1159995246957,St.Lawrence
1770,535.664942989338,St.Lawrence
1773,1209.5435385759292,Mississippi River
1775,636.9319396452739,Elbe River
1776,637.822448757807,Elbe River
1777,702.219534541822,Elbe River
1778,647.2194043748625,Elbe River
1784,854.3953227284773,Mississippi River
1785,637.8488138348933,Mississippi River
1786,854.7583887778756,Mississippi River
1787,504.458498436907,Colorado River (Pacific Ocean)
1788,1081.2331572835276,Mississippi River
1789,896.8978292971289,Mississippi River
1790,507.8234207554929,Loire
1795,766.8186819245674,Loire
1797,942.2584516983899,Elbe River
1798,747.4903231473124,Neva
1809,507.8234207554929,Loire
1810,744.0034194355786,Rhine
1815,728.866099279602,Neva
1817,637.6560959764954,Elbe River
1818,637.8417228566159,Elbe River
1819,645.405339154895,Elbe River
1820,645.405339154895,Elbe River
1844,701.5279598660462,Mississippi River
1846,673.8160899839789,Mississippi River
1849,671.4009531987037,Colorado River (Pacific Ocean)
1850,729.0099616323356,Neva
1856,507.8234207554929,Loire
1857,507.8234207554929,Loire
1858,526.9330021315718,Bravo
1859,733.9315550984852,Rhine
1860,505.95459882058543,St.Lawrence
1864,511.8390468522211,Loire
1865,511.5228235046154,Loire
1867,514.6964705653614,Loire
1872,683.2940284492754,Rhine
1886,538.7494089637461,Loire
1887,594.8145360135832,Mississippi River
