site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
172,0.77049506,-0.6405286,0.009618118,0.46411127,-1.4072151,-1.3265655,0.49255714,-0.38801983,0.04545455
173,0.43393105,0.17475054,1.3011483,0.25372934,1.0414057,0.18995847,-0.22868621,1.6526716,0.06666667
174,0.650357,0.10500524,-1.1208425,-0.93982106,0.31840032,-1.2275429,-0.08445139,0.5594602,0.01639344
175,0.6346285,0.0907956,-1.0812957,-0.8936538,0.3069827,-1.2060893,-0.09589419,0.5480162,0.015873028
177,-0.93080103,1.0103046,-0.010369942,-1.3296574,-0.31207705,2.6133044,1.2189223,-1.7199447,0.055555545
178,0.33280486,-0.6285138,-1.0591521,0.35615134,-0.26770633,-1.6414759,-0.66710275,-0.06565887,0.083333336
179,0.5410195,-0.007006682,0.33750844,0.07780284,1.0288,-0.68437356,-0.5643072,1.5852648,0.099999994
180,0.5410195,-0.007006682,0.33750844,0.07780284,1.0288,-0.68437356,-0.5643072,1.5852648,0.099999994
183,-0.051144876,-0.67547095,0.49426377,1.2772185,-0.63497883,-0.40056312,-0.3141197,-0.37134597,0.016393438
184,-0.051142663,-0.6783278,0.4903506,1.2796247,-0.64073867,-0.40495223,-0.3141858,-0.37690702,0.016949164
185,-0.047687866,-0.67716664,0.49642342,1.2788421,-0.6389217,-0.40494668,-0.31190845,-0.37009856,0.016666658
186,-0.05252333,-0.6796486,0.48500186,1.2798625,-0.6435711,-0.40707397,-0.31508654,-0.38206014,0.11111111
187,-0.7200095,0.48380515,1.1058472,0.0920053,0.83659315,1.9640594,-0.06371831,-0.021034345,0.1
188,-0.4236518,0.7616194,0.39825284,-0.7793981,0.9712738,1.5505843,0.16381681,0.21564607,0.024999995
189,-0.42789334,0.75873494,0.40636796,-0.7695178,0.9703945,1.556565,0.16061303,0.21254027,0.024390237
190,0.7473869,-0.6263991,-0.010555923,0.44760478,-1.3790704,-1.2985709,0.47973356,-0.39473268,0.1
193,-0.3442515,-0.5251707,0.30804405,1.1285009,-0.2895515,-0.023671972,-0.50303006,-0.47029665,0.1
194,0.7739621,-0.60626835,-0.064586475,0.3783707,-1.3695235,-1.328915,0.49301246,-0.38103262,0.06666667
195,0.7740376,-0.6104574,-0.055731505,0.38846302,-1.3744345,-1.3292149,0.49320784,-0.3817205,0.071428575
196,-0.03181456,-0.6478311,0.7336225,1.4792901,0.18690962,-0.4892885,-0.8659696,0.48688027,0.058823537
197,-0.035194285,-0.6654211,0.77685946,1.5283107,0.16752318,-0.48341078,-0.8681174,0.48201007,0.07692309
198,0.70502937,-0.60988873,-0.02278027,0.4403817,-1.3414015,-1.2460463,0.45529565,-0.41115656,0.030303024
200,-0.4230227,0.31131703,-0.030862674,-0.18932553,1.1916307,0.67100495,-0.6283291,0.47071877,0.062499996
201,-0.41967756,0.30945724,-0.028554067,-0.18711643,1.1874578,0.66657776,-0.62612516,0.47183892,0.05882353
204,-0.6738964,0.08772696,0.5701036,0.54020107,1.0712883,1.0325434,-0.801253,0.27312467,0.02325582
205,-0.89676106,0.9980978,-0.0034833327,-1.3253218,-0.34767824,2.5665233,1.2441798,-1.7086139,0.017543858
206,-0.897197,0.99322313,0.0069920123,-1.3132718,-0.35351503,2.5674057,1.244064,-1.7105702,0.016129034
207,-0.797573,0.070775434,0.47548622,0.65033,1.6278523,0.9892819,-1.295938,0.6198815,0.10000001
208,-1.4542173,0.07518257,0.6305351,0.97440577,1.6486659,1.9288718,-1.4903647,-0.15651369,0.11111111
209,-0.0133024305,0.0017910872,0.8325522,0.3693276,0.015978396,0.49034888,0.13703975,0.14262035,0.039999995
210,0.08055288,0.32343617,-0.8160723,-0.76371086,1.2888248,-0.38357645,-0.66996837,0.92109275,0.099999994
211,-1.0955459,0.6495265,0.8249294,-0.33974594,-0.63274163,2.8590996,1.0997665,-1.9127733,0.1
212,-1.052356,-0.50423044,0.8019416,1.6426488,-0.24314816,1.1303053,-0.6685394,-1.1543698,0.111111104
213,-1.1386434,-0.44646785,0.72715724,1.5664849,-0.11684008,1.2497782,-0.7306709,-1.1764354,0.021276595
214,-0.74890846,0.46006688,1.1641418,0.16795121,0.83001053,2.002564,-0.08555506,-0.041823357,0.06666667
215,-0.897197,0.99322313,0.0069920123,-1.3132718,-0.35351503,2.5674057,1.244064,-1.7105702,0.016129034
216,-0.89851874,0.9950168,0.0038611367,-1.3166262,-0.35039765,2.5691273,1.243012,-1.710495,0.017241376
218,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
219,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
220,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
221,0.5605015,0.44611746,-0.9488338,-1.2675391,1.0136894,-0.77954334,-0.18938366,1.085616,0.05882353
222,0.56074744,0.44551036,-0.9492885,-1.2669264,1.0134115,-0.7807777,-0.18992677,1.0856472,0.017857142
223,0.56125724,0.4456727,-0.94829905,-1.2670385,1.0127631,-0.7804495,-0.188925,1.0858066,0.018181823
