site_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,site_attention_received
87,0.59534615,-0.04033273,-0.2496738,0.035319813,-0.6804772,-0.02023609,0.7184768,-0.5860491,0.0625
88,0.4736081,-0.041413125,0.045649685,-0.28843713,0.32254753,-0.2675956,-0.08754048,0.111337304,0.0625
89,0.29761964,0.24219207,0.14471689,-0.31140316,0.24372815,0.1352248,0.2709043,0.16873981,0.058823526
90,-0.3288043,-0.035705518,-0.13773687,0.07851021,-0.21606477,1.0541512,-0.22380847,-0.39162704,0.08333332
91,-0.2082625,-0.32359433,-0.0710939,0.30669343,0.022350714,0.37364247,-0.53533936,-0.64313143,0.047619052
92,0.48716685,-0.03246193,0.3647406,0.024921201,0.10879902,-0.2236464,0.10668419,0.3377037,0.07142856
93,-0.38118416,-0.13882785,0.42482185,0.43708685,0.28871506,0.46894392,-0.48001516,-0.36827096,0.055555556
94,0.4931408,-0.09281115,0.32369125,-0.14964211,0.18531539,-0.0019635186,-0.08538159,0.453999,0.07692308
95,-0.09289477,-0.22750418,0.25944012,0.14185789,0.109707765,0.6222396,-0.53400075,0.061278783,0.05882353
96,-0.321882,-0.06947555,0.26313338,0.23088455,0.3227316,0.48306954,-0.4696775,-0.16995595,0.06666666
97,-0.30447894,-0.03347125,0.10442901,0.28053355,0.051301107,0.5259373,-0.2809194,-0.25063485,0.05882353
98,0.038413085,-0.14645004,0.24952966,0.11155864,0.1454345,0.32465294,-0.36024863,0.005899366,0.05
100,0.25924227,-0.27849647,-0.1388539,0.38101056,-0.37776357,-0.24945569,0.20424883,-1.0336863,0.06666667
101,0.39282367,-0.0966458,0.21534798,0.25534186,-0.23153834,-0.120619744,0.3458836,-0.29104275,0.055555556
102,0.0088884905,-0.21714412,0.093355104,-0.14045647,0.59102905,0.20178843,-0.83250004,0.21359551,0.124999985
103,-0.029509842,-0.14996363,0.0929948,-0.06663411,0.2458696,0.44259006,-0.5576455,0.08263705,0.058823537
104,-0.039092127,-0.30288252,-0.084934145,0.008615702,0.4883154,-0.038952306,-0.73810333,-0.34213245,0.10000001
105,0.18494415,0.005130902,0.115434945,-0.10067164,0.22469772,0.05620089,-0.06481762,-0.02047104,0.05882353
106,0.69216406,-0.32194442,0.1372196,0.1487083,-0.2331142,-0.49632442,0.12131567,-0.11992009,0.09090909
107,0.3043008,-0.26130462,0.32848558,0.40738478,-0.1733708,-0.14346161,0.022806108,-0.29605243,0.06666668
108,0.29107526,-0.0082345605,0.0074995086,-0.24642628,0.13231617,0.15746672,-0.053670265,0.1037319,0.052631576
109,-0.01772669,0.24120665,-0.038390502,-0.2734363,0.40734628,0.19815868,0.050016522,-0.121211395,0.09999999
110,0.14860111,-0.18542525,0.12286992,0.14139937,0.2395646,-0.22782841,-0.27352214,-0.28312874,0.11111111
111,-0.28447807,-0.14527106,0.1946863,0.44476596,0.06377768,0.34016368,-0.21659014,-0.6741126,0.07692308
