resource,region,model,RMSE
carbon,HUN,xLSTM,35.154115533492494
carbon,IND|delhi,Nexus,70.97205969890355
carbon,IND|delhi,SARIMA,73.0515294063746
carbon,IND|delhi,TimesFM,91.47780147361172
carbon,IND|delhi,xLSTM,86.23272929094391
carbon,IND|gujarat,Nexus,105.95549331251883
carbon,IND|gujarat,SARIMA,110.0669539592094
carbon,IND|gujarat,TimesFM,114.89574468565948
carbon,IND|gujarat,xLSTM,106.34803609974877
carbon,IND|karnataka,Nexus,64.59808896505942
carbon,IND|karnataka,SARIMA,100.44456904726009
carbon,IND|karnataka,TimesFM,50.32661941443367
carbon,IND|karnataka,xLSTM,72.4613261996103
carbon,IND|kerala,Nexus,1.4014165493893889
carbon,IND|kerala,SARIMA,2.3974554406477053
carbon,IND|kerala,TimesFM,1.6772422703392051
carbon,IND|kerala,xLSTM,1.5901334140645464
carbon,IND|maharashtra,Nexus,13.64380017231259
carbon,IND|maharashtra,SARIMA,15.440158354108625
carbon,IND|maharashtra,TimesFM,14.003190621696618
carbon,IND|maharashtra,xLSTM,17.65331814989789
carbon,IND|odisha,Nexus,17.01979555207078
carbon,IND|odisha,SARIMA,13.32206112626997
carbon,IND|odisha,TimesFM,18.15318704925818
carbon,IND|odisha,xLSTM,37.28025581494554
carbon,IND|rajasthan,Nexus,58.59676320620797
carbon,IND|rajasthan,SARIMA,42.82750490771368
carbon,IND|rajasthan,TimesFM,60.426680700807324
carbon,IND|rajasthan,xLSTM,68.4178145665501
carbon,IND|tamil nadu,Nexus,84.88227447368664
carbon,IND|tamil nadu,SARIMA,83.02979454230709
carbon,IND|tamil nadu,TimesFM,77.73426252905097
carbon,IND|tamil nadu,xLSTM,87.14564423095203
carbon,IND|telangana,Nexus,42.252920225167486
carbon,IND|telangana,SARIMA,52.04637502831921
carbon,IND|telangana,TimesFM,52.3749388417409
carbon,IND|telangana,xLSTM,65.14433794745769
carbon,IND|uttar pradesh,Nexus,4.90030373841956
carbon,IND|uttar pradesh,SARIMA,15.838964087944628
carbon,IND|uttar pradesh,TimesFM,5.825008834606455
carbon,IND|uttar pradesh,xLSTM,10.946784306429727
carbon,IND|west bengal,Nexus,6.112617464548488
carbon,IND|west bengal,SARIMA,8.115831730735312
carbon,IND|west bengal,TimesFM,5.905293388023044
carbon,IND|west bengal,xLSTM,8.694294080343477
carbon,IRL,Nexus,37.07360581032123
carbon,IRL,SARIMA,38.546116801948564
carbon,IRL,TimesFM,32.001645657630625
carbon,IRL,xLSTM,51.52087358348204
carbon,ITA,Nexus,30.986705781359614
carbon,ITA,SARIMA,29.594618192714286
carbon,ITA,TimesFM,37.78572921340001
carbon,ITA,xLSTM,50.615405367392334
carbon,LTU,Nexus,47.08108948703148
carbon,LTU,SARIMA,65.0401419237622
carbon,LTU,TimesFM,43.57390370101224
carbon,LTU,xLSTM,45.285050918717715
carbon,LUX,Nexus,64.4432306082981
carbon,LUX,SARIMA,49.42495561529063
carbon,LUX,TimesFM,56.03245254002614
carbon,LUX,xLSTM,51.67071098089596
carbon,LVA,Nexus,56.42193872044431
carbon,LVA,SARIMA,52.96309096244856
carbon,LVA,TimesFM,54.97204762312354
carbon,LVA,xLSTM,48.76941232729491
carbon,MDA,Nexus,9.910407715305569
carbon,MDA,SARIMA,12.339853370793426
carbon,MDA,TimesFM,9.291536149532257
carbon,MDA,xLSTM,8.289675015383375
carbon,MKD,Nexus,81.04048106806057
carbon,MKD,SARIMA,72.39568676600982
carbon,MKD,TimesFM,70.16790558580254
carbon,MKD,xLSTM,96.78648667910953
carbon,MLT,Nexus,21.931227949562302
carbon,MLT,SARIMA,34.93451032938675
carbon,MLT,TimesFM,35.230588070487094
carbon,MLT,xLSTM,24.336957178982445
carbon,NLD,Nexus,49.18404471551331
carbon,NLD,SARIMA,53.889128240267006
carbon,NLD,TimesFM,50.390411366463674
carbon,NLD,xLSTM,63.3673094805535
carbon,NOR,Nexus,1.2745200642951073
carbon,NOR,SARIMA,1.4863876196349428
carbon,NOR,TimesFM,1.314197438721869
carbon,NOR,xLSTM,1.0299242558995025
carbon,POL,Nexus,56.44569236283294
carbon,POL,SARIMA,57.63826549329677
carbon,POL,TimesFM,72.85523760329838
carbon,POL,xLSTM,59.854449446943924
carbon,PRT,Nexus,25.73762953186031
carbon,PRT,SARIMA,52.8358921023309
carbon,PRT,TimesFM,21.232087852150375
carbon,PRT,xLSTM,36.80353285487825
carbon,ROU,Nexus,27.0108374161284
carbon,ROU,SARIMA,39.46344427462174
carbon,ROU,TimesFM,31.80850128732431
carbon,ROU,xLSTM,43.19349501315419
carbon,SRB,Nexus,77.0401583980059
carbon,SRB,SARIMA,86.65012954177833
carbon,SRB,TimesFM,54.25167589103457
carbon,SRB,xLSTM,67.94316648747386
carbon,SVK,Nexus,7.531913242953861
carbon,SVK,SARIMA,16.654531604777002
carbon,SVK,TimesFM,8.029980382717612
carbon,SVK,xLSTM,15.493793704054855
carbon,SVN,Nexus,118.69703211678556
carbon,SVN,SARIMA,103.58254627206331
carbon,SVN,TimesFM,128.6624129740376
carbon,SVN,xLSTM,163.53308719164767
carbon,SWE,Nexus,1.4474917666002622
carbon,SWE,SARIMA,2.8994389648006247
carbon,SWE,TimesFM,1.5511248643988789
carbon,SWE,xLSTM,3.00438880240179
carbon,TUR,Nexus,8.527681630186542
carbon,TUR,SARIMA,21.073461062421906
carbon,TUR,TimesFM,14.72623153749716
carbon,TUR,xLSTM,18.415469569786453
carbon,USA|alabama,Nexus,29.77173068941546
carbon,USA|alabama,SARIMA,30.709038167180385
carbon,USA|alabama,TimesFM,12.73725195968745
carbon,USA|alabama,xLSTM,10.632901726933081
carbon,USA|arizona,Nexus,15.665040436702897
carbon,USA|arizona,SARIMA,16.22645542394989
carbon,USA|arizona,TimesFM,21.069113107863707
carbon,USA|arizona,xLSTM,31.845686205641655
carbon,USA|arkansas,Nexus,36.94094595056347
carbon,USA|arkansas,SARIMA,43.15757234292474
carbon,USA|arkansas,TimesFM,48.73450566025416
carbon,USA|arkansas,xLSTM,51.43742309828346
carbon,USA|california,Nexus,17.659377809339787
carbon,USA|california,SARIMA,22.19722896368411
carbon,USA|california,TimesFM,32.29292815036252
carbon,USA|california,xLSTM,15.547572333794584
carbon,USA|colorado,Nexus,33.57342561203831
carbon,USA|colorado,SARIMA,38.23138886830429
carbon,USA|colorado,TimesFM,35.69533594331524
carbon,USA|colorado,xLSTM,34.8752447333209
carbon,USA|connecticut,Nexus,17.265664203460044
carbon,USA|connecticut,SARIMA,38.15195630252389
carbon,USA|connecticut,TimesFM,13.369755638746485
carbon,USA|connecticut,xLSTM,11.721494544222049
carbon,USA|delaware,Nexus,39.75147017284469
